article_number,name,device_standard,device_type,price_euro,calibration_type,category,search_text
1010,Düsenlehrensatz,DIN 2275,<=20tlg,20.85,ISO,Dimensionsmesstechnik,Düsenlehrensatz DIN 2275 <=20tlg
1015,Einstellkugeln für Koordinatenmessgeräte,,,179.82,ISO,Dimensionsmesstechnik,Einstellkugeln für Koordinatenmessgeräte
1016,Referenzstücke für Höhenmessgeräte,,,18.23,ISO,Dimensionsmesstechnik,Referenzstücke für Höhenmessgeräte
1020,Einstellmaße für Bügelmess- schrauben,DIN 863,<=50 mm,3.90,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 <=50 mm
1021,Einstellmaße für Bügelmess- schrauben,DIN 863,>50-100 mm,5.21,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >50-100 mm
1022,Einstellmaße für Bügelmess- schrauben,DIN 863,>100-150 mm,7.81,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >100-150 mm
1023,Einstellmaße für Bügelmess- schrauben,DIN 863,>150-200 mm,10.42,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >150-200 mm
1024,Einstellmaße für Bügelmess- schrauben,DIN 863,>200-250 mm,11.72,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >200-250 mm
1025,Einstellmaße für Bügelmess- schrauben,DIN 863,>250-300 mm,13.02,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >250-300 mm
1026,Einstellmaße für Bügelmess- schrauben,DIN 863,>300-400 mm,18.23,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >300-400 mm
1027,Einstellmaße für Bügelmess- schrauben,DIN 863,>400-600 mm,23.45,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >400-600 mm
1028,Einstellmaße für Bügelmess- schrauben,DIN 863,>600-800 mm,31.27,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >600-800 mm
1029,Einstellmaße für Bügelmess- schrauben,DIN 863,>800-1000 mm,41.70,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >800-1000 mm
1030,Einstellmaße für Bügelmess- schrauben,DIN 863,>1000-1200 mm,53.42,ISO,Dimensionsmesstechnik,Einstellmaße für Bügelmess- schrauben DIN 863 >1000-1200 mm
1031,Einstellmaße für Gewindemess- schrauben,,<=100 mm,23.45,ISO,Dimensionsmesstechnik,Einstellmaße für Gewindemess- schrauben <=100 mm
1032,Einstellmaße für Gewindemess- schrauben,,>100-200 mm,33.88,ISO,Dimensionsmesstechnik,Einstellmaße für Gewindemess- schrauben >100-200 mm
